Query ID,Hit ID,Description,E-value,Score,Query Length,Alignment Length,Identity
NG_008477.2,gi|2296125236|ref|NG_008477.2|,"Homo sapiens SURF1 cytochrome c oxidase assembly factor (SURF1), RefSeqGene on chromosome 9",0.0,23460.0,11730,11730,11730
NG_008477.2,gi|2296125236|ref|NG_008477.2|,"Homo sapiens SURF1 cytochrome c oxidase assembly factor (SURF1), RefSeqGene on chromosome 9",2.19268e-13,105.0,11730,217,151
NG_008477.2,gi|2296125236|ref|NG_008477.2|,"Homo sapiens SURF1 cytochrome c oxidase assembly factor (SURF1), RefSeqGene on chromosome 9",2.19268e-13,105.0,11730,217,151
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",0.0,23460.0,11730,11730,11730
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",3.03713e-81,355.0,11730,301,255
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",4.50749e-79,347.0,11730,284,241
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",1.57327e-78,345.0,11730,303,255
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",5.49125e-78,342.0,11730,297,250
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",1.91664e-77,340.0,11730,302,254
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",6.68971e-77,338.0,11730,309,257
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",2.33494e-76,337.0,11730,298,249
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",9.92842e-75,331.0,11730,299,248
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",9.92842e-75,330.0,11730,298,247
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",3.46536e-74,329.0,11730,286,241
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",4.22167e-73,324.0,11730,289,241
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",1.7951e-71,319.0,11730,289,240
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",6.26551e-71,317.0,11730,295,243
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",6.26551e-71,317.0,11730,288,239
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",6.26551e-71,316.0,11730,306,251
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",7.63296e-70,313.0,11730,285,237
